"status_code_label","count","percent"
"Delivered :: Delivered_001 :: Delivered","2008","39.98"
"PreTransit :: PreTransit_005 :: Info Received","1371","27.3"
"InTransit :: InTransit_002 :: Arrival scan","788","15.69"
"InTransit :: InTransit_001 :: In Transit","458","9.12"
"InTransit :: InTransit_004 :: Departure Scan","307","6.11"
"OutForDelivery :: OutForDelivery_001 :: Out for Delivery","38","0.76"
"DeliveryAttemptFailed :: DeliveryAttemptFailed_001 :: Failed Attempt","16","0.32"
"InTransit :: InTransit_012 :: Delayed","14","0.28"
"InTransit :: InTransit_017 :: Carrier Picked up","10","0.2"
"Exception :: Exception_005 :: Shipping Exception","6","0.12"
"AvailableForPickup :: AvailableForPickup_001 :: Available for pickup from pickup point","4","0.08"
"DeliveryException :: DeliveryException_001 :: Incomplete/incorrect address","2","0.04"
