"event_status_code_label","count","percent"
"InTransit :: InTransit_002 :: Arrival scan","8592","31.16"
"PreTransit :: PreTransit_005 :: Info Received","5471","19.84"
"InTransit :: InTransit_004 :: Departure Scan","4277","15.51"
"InTransit :: InTransit_001 :: In Transit","3724","13.51"
"OutForDelivery :: OutForDelivery_001 :: Out for Delivery","2213","8.03"
"Delivered :: Delivered_001 :: Delivered","2008","7.28"
"InTransit :: InTransit_017 :: Carrier Picked up","1203","4.36"
"DeliveryAttemptFailed :: DeliveryAttemptFailed_001 :: Failed Attempt","34","0.12"
"InTransit :: InTransit_012 :: Delayed","24","0.09"
"DeliveryException :: DeliveryException_001 :: Incomplete/incorrect address","12","0.04"
"Exception :: Exception_005 :: Shipping Exception","8","0.03"
"AvailableForPickup :: AvailableForPickup_001 :: Available for pickup from pickup point","5","0.02"
"OutForDelivery :: OutForDelivery_003 :: Delivery Appointment Scheduled","1","0"
