"count","status","substatus","substatus_message","percent_of_exc"
"12","DeliveryException","Incomplete/incorrect address","Parcel received but with incorrect address. Note: Please contact with customer service directly and schedule delivery.","22.22"
"8","DeliveryAttemptFailed","Failed Attempt","DeliveryAttempted","14.81"
"8","DeliveryAttemptFailed","Failed Attempt","The delivery attempt failed will be returned to the UniUni warehouse","14.81"
"4","Exception","Shipping Exception","Attempted Delivery: No access. The package is undeliverable and schedule to redelivery. Redelivery is Scheduled on July 28, 2026","7.41"
"4","DeliveryAttemptFailed","Failed Attempt","Delivery rescheduled for 2nd delivery attempt","7.41"
"3","Exception","Shipping Exception","Attempted Delivery: No access. The package is undeliverable and schedule to redelivery. Redelivery is Scheduled on July 29, 2026","5.56"
"2","DeliveryAttemptFailed","Failed Attempt","The driver tried to deliver the package, but the business was closed. We will reattempt up to 3 times.  Contact us with any access or delivery instructions","3.7"
"2","DeliveryAttemptFailed","Failed Attempt","The delivery attempt failed will be returned to the UniUni warehouse. (Contact Attempt Failed)","3.7"
"2","DeliveryAttemptFailed","Failed Attempt","Undeliverable","3.7"
"1","DeliveryAttemptFailed","Failed Attempt","Attempted Delivery:Building Closed/Weekend/Holiday. The package is undeliverable and schedule to redelivery. Redelivery is Scheduled on July 29, 2026","1.85"
"1","Exception","Shipping Exception","We need additional information to complete your delivery and avoid a return. Please contact us within 3 business days","1.85"
"1","DeliveryAttemptFailed","Failed Attempt","Attempted Delivery:Building Closed/Weekend/Holiday. The package is undeliverable and schedule to redelivery. Redelivery is Scheduled on July 28, 2026","1.85"
"1","DeliveryAttemptFailed","Failed Attempt","Attempted Delivery:Building Closed/Weekend/Holiday. The package is undeliverable and schedule to redelivery","1.85"
"1","DeliveryAttemptFailed","Failed Attempt","Recipient business closed today. Delivery scheduled for next business day","1.85"
"1","DeliveryAttemptFailed","Failed Attempt","The delivery of your package was attempted but could not be completed due to a lack of an access code. Please contact us to provide the needed access details to avoid a return","1.85"
"1","DeliveryAttemptFailed","Failed Attempt","Package Delivery Attempted","1.85"
"1","DeliveryAttemptFailed","Failed Attempt","Delivery attempted","1.85"
"1","DeliveryAttemptFailed","Failed Attempt","Attempted Delivery: No access. The package is undeliverable and schedule to redelivery","1.85"
